"Kod";"Nazwa";"pierwsze półrocze;ogółem;ogółem;2016;[osoba]";"pierwsze półrocze;ogółem;ogółem;2017;[osoba]";"pierwsze półrocze;ogółem;ogółem;2018;[osoba]";"pierwsze półrocze;ogółem;ogółem;2019;[osoba]";"pierwsze półrocze;ogółem;ogółem;2020;[osoba]";"pierwsze półrocze;ogółem;ogółem;2021;[osoba]";"pierwsze półrocze;ogółem;ogółem;2022;[osoba]";"pierwsze półrocze;ogółem;ogółem;2023;[osoba]";"pierwsze półrocze;ogółem;ogółem;2024;[osoba]";"pierwsze półrocze;ogółem;ogółem;2025;[osoba]";"rok;ogółem;ogółem;2016;[osoba]";"rok;ogółem;ogółem;2017;[osoba]";"rok;ogółem;ogółem;2018;[osoba]";"rok;ogółem;ogółem;2019;[osoba]";"rok;ogółem;ogółem;2020;[osoba]";"rok;ogółem;ogółem;2021;[osoba]";"rok;ogółem;ogółem;2022;[osoba]";"rok;ogółem;ogółem;2023;[osoba]";"rok;ogółem;ogółem;2024;[osoba]";"rok;ogółem;ogółem;2025;[osoba]";
0000000;"POLSKA";38426809;38422346;38413139;38386476;38177724;37989517;37827355;37698294;37563071;37402052;38432992;38433558;38411148;38382576;38088564;37907704;37766327;37636508;37489087;;
0200000;"DOLNOŚLĄSKIE";2903812;2902365;2901003;2899986;2915582;2901316;2892067;2883133;2874496;2862442;2903710;2902547;2901225;2900163;2908378;2897737;2888033;2879271;2868242;;
0400000;"KUJAWSKO-POMORSKIE";2084524;2082935;2079917;2074517;2038881;2023983;2011652;2001670;1990323;1977537;2083927;2082944;2077775;2072373;2031550;2017720;2006876;1996003;1984479;;
0600000;"LUBELSKIE";2135715;2129260;2121613;2112216;2064992;2048320;2030509;2017807;2003475;1987787;2133340;2126317;2117619;2108270;2056908;2038299;2024637;2011047;1996440;;
0800000;"LUBUSKIE";1017450;1016652;1015440;1013031;996361;989432;982655;977493;972140;966389;1017376;1016832;1014548;1011592;993329;985487;979976;975023;969819;;
1000000;"ŁÓDZKIE";2488417;2479962;2470610;2460170;2426559;2404850;2385620;2370370;2354135;2336680;2485323;2476315;2466322;2454779;2415816;2394946;2378483;2362519;2345924;;
1200000;"MAŁOPOLSKIE";3376329;3386162;3395663;3404863;3436182;3431148;3428929;3428728;3429685;3427656;3382260;3391380;3400577;3410901;3432692;3430370;3429014;3429632;3429084;;
1400000;"MAZOWIECKIE";5356838;5372579;5391813;5411446;5520619;5513036;5511491;5509351;5510618;5506411;5365898;5384617;5403412;5423168;5517616;5512794;5510612;5510527;5508322;;
1600000;"OPOLSKIE";994489;991161;988014;984345;959841;952471;945179;939470;933349;926842;993036;990069;986506;982626;955844;948583;942441;936725;930296;;
1800000;"PODKARPACKIE";2126824;2127687;2128747;2127462;2100838;2090816;2081585;2075827;2067139;2057923;2127656;2129138;2129015;2127164;2096166;2085932;2079098;2071676;2062997;;
2000000;"PODLASKIE";1187587;1185174;1182677;1179430;1159881;1152892;1145841;1140681;1135201;1129475;1186625;1184548;1181533;1178353;1156591;1148720;1143355;1138216;1132641;;
2200000;"POMORSKIE";2311469;2319735;2328214;2337769;2358302;2357809;2358452;2358323;2359956;2358779;2315611;2324251;2333523;2343928;2358256;2358726;2358307;2359573;2359493;;
2400000;"ŚLĄSKIE";4564394;4552627;4540140;4524091;4427845;4392773;4359954;4333066;4305126;4275429;4559164;4548180;4533565;4517635;4412097;4375947;4346702;4320130;4291441;;
2600000;"ŚWIĘTOKRZYSKIE";1254505;1249710;1244383;1237369;1205002;1193218;1182161;1173285;1163001;1152544;1252900;1247732;1241546;1233961;1199584;1187693;1178164;1168499;1157991;;
2800000;"WARMIŃSKO-MAZURSKIE";1437812;1434783;1431299;1425967;1389641;1379983;1369895;1362433;1353374;1343915;1436367;1433945;1428983;1422737;1385622;1374699;1366430;1357910;1349172;;
3000000;"WIELKOPOLSKIE";3477755;3484975;3490597;3495470;3510953;3502366;3496307;3490364;3484177;3474825;3481625;3489210;3493969;3498733;3507042;3500030;3493577;3487973;3479986;;
3200000;"ZACHODNIOPOMORSKIE";1708889;1706579;1703009;1698344;1666245;1655104;1645058;1636293;1626876;1617418;1708174;1705533;1701030;1696193;1661073;1650021;1640622;1631784;1622760;;
