"Kod";"Nazwa";"1 kwartał;ogółem - okres poprzedni = 100;2016;[-]";"1 kwartał;ogółem - okres poprzedni = 100;2017;[-]";"1 kwartał;ogółem - okres poprzedni = 100;2018;[-]";"1 kwartał;ogółem - okres poprzedni = 100;2019;[-]";"1 kwartał;ogółem - okres poprzedni = 100;2020;[-]";"1 kwartał;ogółem - okres poprzedni = 100;2021;[-]";"1 kwartał;ogółem - okres poprzedni = 100;2022;[-]";"1 kwartał;ogółem - okres poprzedni = 100;2023;[-]";"1 kwartał;ogółem - okres poprzedni = 100;2024;[-]";"2 kwartał;ogółem - okres poprzedni = 100;2016;[-]";"2 kwartał;ogółem - okres poprzedni = 100;2017;[-]";"2 kwartał;ogółem - okres poprzedni = 100;2018;[-]";"2 kwartał;ogółem - okres poprzedni = 100;2019;[-]";"2 kwartał;ogółem - okres poprzedni = 100;2020;[-]";"2 kwartał;ogółem - okres poprzedni = 100;2021;[-]";"2 kwartał;ogółem - okres poprzedni = 100;2022;[-]";"2 kwartał;ogółem - okres poprzedni = 100;2023;[-]";"2 kwartał;ogółem - okres poprzedni = 100;2024;[-]";"3 kwartał;ogółem - okres poprzedni = 100;2016;[-]";"3 kwartał;ogółem - okres poprzedni = 100;2017;[-]";"3 kwartał;ogółem - okres poprzedni = 100;2018;[-]";"3 kwartał;ogółem - okres poprzedni = 100;2019;[-]";"3 kwartał;ogółem - okres poprzedni = 100;2020;[-]";"3 kwartał;ogółem - okres poprzedni = 100;2021;[-]";"3 kwartał;ogółem - okres poprzedni = 100;2022;[-]";"3 kwartał;ogółem - okres poprzedni = 100;2023;[-]";"3 kwartał;ogółem - okres poprzedni = 100;2024;[-]";"4 kwartał;ogółem - okres poprzedni = 100;2016;[-]";"4 kwartał;ogółem - okres poprzedni = 100;2017;[-]";"4 kwartał;ogółem - okres poprzedni = 100;2018;[-]";"4 kwartał;ogółem - okres poprzedni = 100;2019;[-]";"4 kwartał;ogółem - okres poprzedni = 100;2020;[-]";"4 kwartał;ogółem - okres poprzedni = 100;2021;[-]";"4 kwartał;ogółem - okres poprzedni = 100;2022;[-]";"4 kwartał;ogółem - okres poprzedni = 100;2023;[-]";"4 kwartał;ogółem - okres poprzedni = 100;2024;[-]";
0000000;"POLSKA";99,3;101,1;100,4;100,2;102,0;102,1;103,8;104,3;100,9;100,5;100,3;100,5;101,7;100,3;101,9;105,8;101,9;101,4;99,7;99,8;100,0;100,3;100,1;101,0;103,1;99,7;101,6;100,7;101,1;100,5;100,6;100,4;102,6;103,6;100,5;100,7;
0200000;"DOLNOŚLĄSKIE";99,3;101,3;100,3;100,3;101,8;102,0;103,7;104,3;101,1;100,5;100,2;100,4;101,5;100,5;101,6;105,5;101,7;101,3;99,7;99,8;100,0;100,3;100,1;100,7;102,8;99,6;101,5;100,5;100,9;100,2;100,4;100,3;102,6;103,3;100,4;100,4;
0400000;"KUJAWSKO-POMORSKIE";99,4;101,1;100,2;100,0;102,2;102,1;104,0;103,6;100,7;100,6;100,4;100,4;101,9;100,3;101,9;106,6;102,0;101,5;99,5;99,6;99,9;100,2;99,9;100,9;103,8;99,8;101,6;100,8;101,4;100,6;100,8;100,4;102,6;103,4;100,5;100,8;
0600000;"LUBELSKIE";99,1;101,1;100,3;100,0;101,9;102,0;103,6;103,4;100,8;100,4;100,3;100,4;101,7;99,9;101,6;106,3;101,5;101,0;99,7;99,7;99,9;100,3;100,0;101,2;103,4;99,4;101,6;100,9;101,2;100,6;100,6;100,4;102,6;104,3;100,4;100,7;
0800000;"LUBUSKIE";99,4;101,2;100,6;100,1;101,7;102,4;103,8;105,0;101,5;100,6;100,2;100,3;101,7;100,5;101,9;105,5;102,1;101,4;99,8;99,8;100,3;100,4;100,1;100,8;102,8;100,0;101,3;100,7;101,1;100,7;100,2;100,3;102,3;103,6;100,7;100,9;
1000000;"ŁÓDZKIE";99,3;101,1;100,3;100,3;102,1;102,3;103,9;103,6;100,8;100,4;100,3;100,3;101,8;100,6;102,0;106,3;101,5;101,1;99,7;99,7;100,0;100,1;99,8;101,0;103,6;99,6;101,4;100,9;101,2;100,6;101,0;100,3;103,5;104,0;100,5;100,7;
1200000;"MAŁOPOLSKIE";99,5;101,2;100,6;100,1;102,5;102,4;104,2;105,1;101,1;100,5;100,2;100,6;101,8;100,0;102,0;105,6;101,9;101,8;99,6;99,9;100,2;100,6;100,3;101,1;103,6;99,6;101,9;100,7;101,3;100,5;100,7;100,8;102,6;103,4;100,4;100,6;
1400000;"MAZOWIECKIE";99,3;101,0;100,4;100,2;101,6;101,8;103,9;104,6;101,0;100,5;100,4;100,6;101,6;100,8;102,0;105,3;102,5;101,4;99,7;99,6;99,8;100,1;100,0;100,8;102,5;99,7;101,5;100,8;101,1;100,6;100,6;100,4;102,5;103,5;100,7;100,8;
1600000;"OPOLSKIE";99,2;101,2;100,3;100,2;102,3;102,5;103,8;103,4;100,7;100,5;100,2;100,4;101,6;99,9;101,6;105,9;101,0;101,1;99,7;100,0;100,3;100,4;100,1;101,3;104,6;99,6;101,5;100,9;100,9;100,2;100,7;100,2;102,9;103,8;100,4;100,6;
1800000;"PODKARPACKIE";99,0;101,0;100,1;100,2;102,1;101,8;103,6;104,8;101,0;100,5;100,2;100,5;101,6;100,1;101,9;104,9;101,8;101,7;99,7;99,7;99,9;100,3;100,1;101,1;103,1;99,6;101,5;100,9;101,5;100,6;100,4;100,2;102,6;103,9;100,7;100,8;
2000000;"PODLASKIE";99,3;101,3;100,3;100,3;101,8;102,3;103,4;104,0;100,5;100,1;100,2;100,5;101,8;99,8;101,8;106,7;101,7;101,8;100,0;99,9;100,0;100,4;100,3;101,0;102,8;99,6;101,5;100,6;101,0;100,4;100,6;100,2;102,2;103,6;100,4;100,5;
2200000;"POMORSKIE";99,4;101,0;100,4;100,2;101,9;101,9;104,0;104,3;100,8;100,6;100,4;100,9;101,4;100,6;101,9;105,4;101,8;101,7;99,9;99,8;99,9;100,1;100,1;100,9;103,0;99,8;101,4;100,7;101,0;100,4;100,5;100,3;102,3;103,6;100,6;101,0;
2400000;"ŚLĄSKIE";99,4;101,0;100,2;99,9;102,1;102,0;103,5;104,4;101,2;100,4;100,3;100,3;101,8;100,6;101,7;105,5;102,0;101,5;99,6;99,9;100,0;100,4;100,3;101,2;103,0;99,8;102,0;100,8;101,0;100,3;100,3;100,3;102,5;103,4;100,1;100,7;
2600000;"ŚWIĘTOKRZYSKIE";99,3;101,0;100,5;100,1;102,4;102,3;103,8;103,6;100,6;100,5;100,4;100,7;102,0;99,7;102,2;107,0;101,8;101,2;99,5;99,5;99,9;100,2;100,4;101,0;103,2;99,3;102,0;101,2;101,2;100,6;100,8;100,1;103,0;103,6;100,4;100,8;
2800000;"WARMIŃSKO-MAZURSKIE";99,5;100,8;100,3;100,0;102,0;102,2;103,6;104,4;100,7;100,5;100,2;100,5;102,3;100,2;101,9;105,9;102,1;101,2;99,8;99,8;99,9;100,3;100,4;100,8;102,5;99,1;101,3;100,7;100,9;100,5;100,5;100,5;102,6;104,0;100,6;100,9;
3000000;"WIELKOPOLSKIE";99,1;101,2;100,2;100,0;102,1;102,0;103,6;104,4;101,2;100,7;100,3;100,6;101,8;100,2;101,9;106,3;101,6;101,5;99,7;99,8;100,1;100,4;100,2;101,0;103,4;99,7;101,8;100,8;101,3;100,7;100,5;100,5;102,9;103,9;100,5;100,7;
3200000;"ZACHODNIOPOMORSKIE";99,5;100,8;100,4;100,3;102,1;102,1;103,8;105,1;100,9;100,3;100,1;100,4;101,5;100,4;101,8;105,4;102,0;101,3;99,5;99,7;99,9;100,5;100,2;100,7;102,8;99,8;102,1;100,7;101,0;100,5;100,5;100,5;101,8;104,0;100,4;100,6;
